PRDLST_NM,BSSH_NM,
기억력엔총기정,주)팜크로스,
글램카페오리지널다이어트,주식회사한미양행,
금단미인프로폴리스,(주)한풍네이처팜,
굿락투유프로바이오틱스,엠에스바이오텍(주),
금산미학홍삼마스터리미티드,농업회사법인주식회사에프앤비바이오,
더블아이케어루테인아스타잔틴,주식회사한미양행,
더슬림굿바이다이어트,풀무원건강생활(주),
더나은포스트신바이오틱스,엠에스바이오텍(주),
더팜튼튼키즈,엠에스바이오텍(주),
후캔폴리스,주식회사네추럴웨이,
홍삼정몸앤홍삼진(眞),(주)휴온스네이처3공장,
홍삼정몸앤홍삼애(愛),(주)휴온스네이처3공장,
호관정프리미엄,(주)한국인삼내츄럴,
필라테스더블유,노비스바이오(주),
프로바이오틱스포우먼,주식회사노바렉스,
포뉴멀티비타민미네랄,(주)한국씨엔에스팜,
칼슘·마그네슘·비타민D,주식회사노바렉스,
츄어블멀티비타민미네랄,주)팜크로스,
인삼농축액8,(주)일화,
웰러스비타민E(전량수출용),(주)팜투팜2공장,
웰러스비타민C500오렌지맛츄어블(전량수출용),(주)팜투팜2공장,
웰러스비타민C500블루베리맛츄어블(전량수출용),(주)팜투팜2공장,
웰러스비타민C500(전량수출용),(주)팜투팜2공장,
우리아이눈에좋은루테인플러스,(주)바이오로제트,
아직보,주식회사한미양행,
아이헬스루테인플러스,주식회사네추럴웨이,
아비스모해피데이(ABISMOHAPPYDAY),주식회사한미양행,
스마일슬플러스,주식회사한미양행,
수면건강엔락티움플러스,주식회사노바렉스,
석류맛다이어트핏Fit,(주)네이처텍,
뼈속까지꽉칼슘&비타민D,풀무원건강생활(주),
모닝업,콜마비앤에이치(주)음성공장,
리얼가르시니아900,(주)유니쎌팜,
나눔플로라글로루테인아스타잔틴,(주)한국씨엔에스팜,
뉴트리니티칼슘,주식회사에스이바이오텍,
글램카페익스트림다이어트,주식회사한미양행,
더케어루테인미니,주식회사노바렉스2공장,
프리바이오틱스프락토올리고당3600,이앤에스(주),
포뉴칼슘마그네슘비타민D,(주)한국씨엔에스팜,
트리플디펜스비타민C,(주)비오팜,
킨더락(KinderLAC)생유산균프로바이오틱스,(주)서흥,
천지정홍삼,한국생약영농조합법인,
차스팜히알루론산,주식회사바이오에비뉴,
아프타큐,우리바이오(주),
아스타비전,(주)한국씨엔에스팜,
아라칼본골드,우리바이오(주),
슈퍼하트슬림히어로,주식회사한미양행,
비타민스토리C500츄어블,(주)바이오로제트,
뷰티스킨아쿠아앰플,(주)네이처텍,
바이탈썸비타민D,(주)알피바이오,
바이오20억유산균,(주)서흥,
미즈본,코스맥스바이오(주),
미라주-엠플러스,노비스바이오(주),
머빈스츄어블그린프로폴리스,코스맥스바이오(주),
마리골드루테인8,주식회사바이오에비뉴,
리버케어골드,(주)한국씨엔에스팜,
루테인베타카로틴A12컴플렉스,주식회사한미양행,
NovaC500chewable,주식회사노바렉스,
NovaC1000,주식회사노바렉스,
더팜썬디츄어블2000IU,(주)알피바이오,
NovaC+Zinc,주식회사노바렉스,
광동맛있는활성비타민D32000IU,주식회사한미양행,
그린프로폴리스플러스비타D,(주)한국씨엔에스팜,
광동스피루리나울트라,(주)유니쎌팜,
광동프로폴리스아연,주식회사한미양행,
6년근고려홍삼정스틱,개성인삼농협,
닥터에스큐,(주)두루원,
간에좋은프리미엄밀크씨슬,주식회사코스팜,
6년근고려홍삼정,개성인삼농협,
내장에프로바이오틱스플러스,(주)서흥,
대웅비타D2800IU,(주)알피바이오,
피크노청송원,(주)오투바이오,
프레스샷,고려제약(주),
트리플리나,주식회사한미양행,
장포유유산균차전자피,한국바이오팜(주),
이즈바디,네이처퓨어코리아(주),
유한엠나토진포르테(유한m나토진포르테),(주)네추럴에프앤피2공장,
유산균패밀리플러스,(주)서흥,
울트라비타민D2000IU,주식회사노바렉스2공장,
오시뮨비타민D드롭(AUSIMMUNVitaminDdrop),코스맥스엔비티(주),
에너맥스,일양약품(주),
안심칼슘마그네슘디,콜마비앤에이치(주)음성공장,
아이케어밸런스,(주)네추럴에프앤피2공장,
스펙타민골드,(주)알피바이오,
스킨뷰스터,(주)네추럴에프앤피2공장,
새초롬초(피),농업회사법인주식회사헬스앤라이프,
브링포스트바이오틱스,주식회사고바이오랩,
브링마이크로바이옴,주식회사고바이오랩,
본케어칼슘마그네슘아연비타민D,(주)유니쎌팜,
밀크씨슬골드플러스,(주)유니쎌팜,
락피도면역젤리키즈,(주)네추럴에프앤피2공장,
광동쏘팔메토쎈115,주식회사한미양행,
데일리브이히알루론산,주식회사바이오에비뉴,
뉴트리니티비타민C,주식회사에스이바이오텍,
닥터루테인지아잔틴,주식회사노바렉스2공장,
헬퍼큐,우리바이오(주),
하루비타민C정,(주)미누스토리,
칼로-클린,(주)뉴팜,
제너럴밸런스레드알티지오메가3,(주)알피바이오,
이노바폴,우리바이오(주),
엠뉴건강한포스트바이오틱스,코스맥스엔비티(주),
셀티바히알루론산아쿠아스킨,(주)알피바이오,
비타민C정제,(주)파마피아,
멀티비타민앤미네랄,주식회사바이오에비뉴,
매일매일간건강,(주)비오팜,
리턴큐,동서바이오팜(주),
리얼퍼펙트멀티비타민,동서바이오팜(주),
REPOOP,푸른바이오에스,
LAB2PRO5StrainMixture(전량수출용),(주)쎌바이오텍,
하드번HARDBURN,(주)한국씨엔에스팜,
필리홍삼옥타코사놀,코스맥스엔비티(주),
프리바이오틱스4000,코스맥스엔비티(주),
퓨어비타민C,(주)알피바이오,
페미론큐PGA칼슘,(주)비오팜,
패밀리혼합생유산균아연플러스,(주)비오팜,
파워업에너지부스터,코스맥스엔비티(주),
칼슘마그네슘아연비타민D골드,주식회사코스팜,
처음온밀크씨슬,주식회사바이오에비뉴,
이지맘신바이오틱스,(주)비오팜,
유산균연구소10억프로바이오틱스,코스맥스엔비티(주),
앙팡엘더베리면역구미,코스맥스엔비티(주),
알티지오메가3,주식회사바이오에비뉴,
쏘팔메토SAWPALMETTO,주식회사한미양행,
슈퍼하트파워클린,주식회사코스팜,
삐뽀락토플러스키즈,주식회사토모,
비피도박테리움브레브비피더스균피엠오(PMO),"(주)쎌바이오텍1공장,2공장",
비피도박테리움브레브비피더스균1010,(주)쎌바이오텍,
비타민C2000,(주)바이오로제트,
뷰트리활력앰플,코스맥스바이오(주),
바이오쏨홍삼유산균,(주)중원바이오팜,
바운스그린리버,노비스바이오(주),
멀티레시피19,(주)한풍네이처팜,
리얼밀크씨슬,(주)유니쎌팜,
네이처락포스트바이오틱스,노비스바이오(주),
농심8종혼합유산균,일동바이오사이언스(주),
광동관절통치락樂,(주)한국씨엔에스팜,
락토바실루스아시도필루스유산균3010,(주)쎌바이오텍,
데일리밸런스원,(주)알피바이오,
L.plantarumIM76과B.longumIM55복합물(NVP1703),(주)네비팜,
락토바실루스플란타룸유산균1010,(주)쎌바이오텍,
더블라이프프리,(주)한풍네이처팜,
더자연스런가벼운습관,드림바이오(주),
위솔보,(주)알피바이오,
수수한블랙,농업회사법인주식회사내츄럴엔,
휴먼네이처시네트롤다이어트,(주)알피바이오,
홍삼정골드,(주)휴온스네이처3공장,
헤파포뮬러,(주)네추럴에프앤피2공장,
프로바이오틱스우먼,(주)씨티씨바이오,
포스트시너지엘(L)프로바이오틱스,주식회사락토메이슨,
포스트시너지에프(F)프로바이오틱스,주식회사락토메이슨,
포스트시너지에스(S)프로바이오틱스,주식회사락토메이슨,
트리플마그네슘,한국바이오팜(주),
키즈비타칼슘마그네슘,콜마비앤에이치(주)음성공장,
에너지케어비타민B콤플렉스,(주)유니쎌팜,
알티지오메가3츄어블,(주)알피바이오,
안심멀티비타민미네랄,콜마비앤에이치(주)음성공장,
시네트롤리얼버닝,(주)알피바이오,
비아노스우먼,(주)유유헬스케어,
바이올렛파인다이어트씨엘에이(VioletFineDietCLA),(주)네추럴에프앤피2공장,
마이코드밀크씨슬&비타민B,코스맥스엔비티(주),
Dr.KP(닥터케이피)비채에스,(주)두루원,
락토바실러스가세리지(G)2,주식회사락토메이슨,
12종혼합유산균2511,(주)쎌바이오텍,
당프라임골드,인성제약(주),
간보원앰버(수출용),(주)허브큐어,
닥터코로솔산,(주)알피바이오,
12종혼합유산균2011에이,(주)쎌바이오텍,
디스메노큐,우리바이오(주),
홍삼농축액분말,(주)휴온스네이처3공장,
하드컷HARDCUT,(주)한국씨엔에스팜,
프리미엄간에좋은밀크씨슬,주식회사코스팜,
청정녹차다이어트리턴핏ReturnFit,(주)한국씨엔에스팜,
인삼농축액분말,(주)휴온스네이처3공장,
액티브엽산800,(주)알피바이오,
서흥프리워크아웃+,(주)서흥,
면역튼튼키즈,(주)네추럴에프앤피2공장,
면역쾌청,코스맥스바이오(주),
맥시마아이케어7,주식회사노바렉스2공장,
리얼맥스멀티비타민,우리바이오(주),
굿모닝락토바실러스프로바이오틱스17,(주)오투바이오,
데일리쾌변,주식회사코스팜,
홍삼정골드블랙스틱,KGEC(케이지이씨),
홍삼정골드레드스틱,KGEC(케이지이씨),
한입톡스피루리나,콜마비앤에이치(주)음성공장,
한방(ONESHOT)에뺄래,주식회사한미양행,
핑크퐁어린이생유산균딸기맛츄어블,(주)쎌바이오텍,
프락토올리고당_케이비(KB),주식회사한국바이오건강,
티에스(TS)10종혼합유산균,일동바이오사이언스(주),
트리플락토키즈,콜마비앤에이치(주)음성공장,
트리플락토베이비,콜마비앤에이치(주)음성공장,
철분,(주)알피바이오,
오리진포유(OriginForYou),(주)세종바이오팜,
안심비타민D31000IU,콜마비앤에이치(주)음성공장,
안심비타민C,콜마비앤에이치(주)음성공장,
쏘팔면역99,주식회사한국바이오건강,
식물성오메가3,(주)빅솔반월공장,
비타민에이만,주)팜크로스,
본헬스케어비타민D2000IU,(주)유니쎌팜,
멀티비타민미네랄21,코스맥스엔비티(주),
리얼프로바이오틱스온가족용생유산균,(주)쎌바이오텍,
리얼프로바이오틱스성인용생유산균,(주)쎌바이오텍,
더웰스칼슘플러스디,주식회사한국바이오건강,
뉴라이프뉴트리션6년근발효홍삼정(newlifenutrition6-year-oldfermentedredginsengextract),(주)팜텍코리아,
락토밸런스,(주)세종바이오팜,
6년근고려홍삼정골드진,주식회사한국바이오건강,
광동비타민D울트라2000IU,(주)유니쎌팜,
황후의보이차다이어트,(주)바이오로제트,
홍삼천기초,(주)대화바이오,
혈행건강오메가3,주식회사네추럴웨이포천제2공장,
쾌변명장프리미엄,주식회사한미양행,
초월홍삼뷰리플린,엔에이치씨바이오텍주식회사,
지앤그린프로폴리스골드,코스맥스바이오(주),
지근억비피두스프로지(전량수출용),(주)비피도,
익상眞진황제골드,우리바이오(주),
익상淸청황제골드,우리바이오(주),
유니크프로폴리스추출물분말,유니크바이오텍(주),
슬림요구틱스(전량수출용),(주)비피도,
밀크씨슬MILKTHISTLE,주식회사한미양행,
메가비타민C3000,(주)바이오로제트,
Bifglutavir(전량수출용),(주)비피도,
눈건강루테인아스타잔틴,주식회사네추럴웨이포천제2공장,
광동MSM울트라,(주)유니쎌팜,
녹십초하와이안스피루리나,(주)녹십초알로에,
녹십초스피루리나정,(주)녹십초알로에,
BIOKIDMULTIDHA(전량수출용),(주)비피도,
해우심채움,주식회사토모,
하이업밸런스아이오메가3,코스맥스바이오(주),
키즈비타씨(베트남수출용),콜마비앤에이치(주)음성공장,
코엔자임볼란테,주식회사바이오에비뉴,
코스맥스엔비티홍삼정,코스맥스엔비티(주),
원스닥터밸런스멀티팩Ⅴ,주식회사바이오에비뉴,
원스닥터밸런스멀티팩Ⅳ,주식회사바이오에비뉴,
에버봄하루락,주식회사한국바이오건강,
시크릿바이오우먼,(주)비오팜,
슈퍼슬림레시피,(주)한풍네이처팜,
비오틴구미BIOTINGummy,(주)서흥오송2공장,
매일매일다이어트,(주)비오팜,
매일매일관절건강,(주)비오팜,
마리골드루테인,주식회사바이오에비뉴,
리얼칼슘마그네슘아연비타민D,(주)유니쎌팜,
데일리베스트키드웰칼슘앤비타민,이앤에스(주),
활력비타민B맥스,한국바이오팜(주),
혜당면역에이스ACE,드림바이오(주),
프로라비타(ProLAVITA),주)팜크로스,
키즈면역프로바이오틱스,주식회사노바렉스,
코오롱리얼비타민C프리미엄,(주)에스엘에스,
코오롱리얼비타민C1000,(주)에스엘에스,
차크라이스(CHAKREIS),인성제약(주),
이너그램라또블,주식회사한미양행,
웰러스비타민C1000(전량수출용),(주)팜투팜2공장,
온누리파워아르샷맥스,(주)화인내츄럴,
오설록프로폴리스스프레이,(주)서흥오창공장,
앙팡멀티비타민구미,코스맥스엔비티(주),
알래스카레드알티지오메가,주식회사노바렉스2공장,
안심엽산800,콜마비앤에이치(주)음성공장,
아이글라우,주)팜크로스,
신데칼연질캡슐(CINDECALSoftCapsule),영풍제약(주),
식이섬유화이버크린캡,(주)오투바이오,
사임당홍삼진액비첩(批帖),농업회사법인(주)힐링팜,
매일매일면역에너지건강,(주)비오팜,
리얼맥스맨쏘팔메토,(주)한국씨엔에스팜,
고려활기홍삼정스틱,KGEC(케이지이씨),
17종알파혼합유산균비(B)-3700,(주)메디오젠,
글램디바이오2주습관다이어트,주식회사한미양행,
내안애(愛)홍삼,성이바이오주식회사,
허니부쉬추출발효분말,(주)휴온스내츄럴,
하이드로피에스HP30(에이치피삼공),(주)바이오시네틱스제1공장,
하루안,주)팜크로스,
퀸즈팜간건강밀크씨슬,주식회사코스팜,
쿠셀,코스맥스엔비티(주),
케이지씨아이패스J(수출용),(주)한국인삼공사,
진정주비타C1000,이앤에스(주),
지씨밀크씨슬,콜마비앤에이치(주)음성공장,
종가집김치유산균락토바실러스플란타럼DSRM2,(주)휴온스내츄럴,
원스닥터밸런스멀티팩Ⅲ,주식회사바이오에비뉴,
에스트로벤,(주)알피바이오,
알티지오메가3,코스맥스엔비티(주),
안심마그네슘,콜마비앤에이치(주)음성공장,
스피루리나SPIRULINA,주식회사한미양행,
스마트파워인지력엔진,코스맥스바이오(주),
슈퍼프로바이오펜타5골드,(주)서흥,
미건홍삼프리미엄스틱,중부대학교산학협력단,
면역엔그린프로폴리스,코스맥스바이오(주),
면역기능에필요한슬기로운면역생활,주식회사웰파인,
더나은루테인아스타잔틴,주식회사한미양행,
닥터+락토생유산균프리미엄,(주)세종바이오팜,
닥터밀크씨슬,(주)알피바이오,
녹차카테킨,동서바이오팜(주),
홍삼정골드스틱파워,농업회사법인(주)동서웰빙,
혈행건강센징코,극동에치팜(주),
코어팩포맨,삼성제약(주),
천지양통홍삼분말,(주)휴온스네이처3공장,
원스닥터밸런스멀티팩Ⅱ,주식회사바이오에비뉴,
원데이밸런스,한국네츄럴팜,
액티브관절,네이처퓨어코리아(주),
씹어먹는칼마디아연,네이처퓨어코리아(주),
베터헬씨투모로우,네이처퓨어코리아(주),
헬스앤밸런스애프터,(주)마임,
함소아홍삼정청소년,(주)휴온스네이처3공장,
프로바이오틱스굳이뮨,콜마비앤에이치(주)음성공장,
폭포수골드,(주)네추럴에프앤피2공장,
포스트바이오틱스,(주)뉴팜,
포뉴포스트바이오틱스100억패밀리프로바이오틱스유산균,코스맥스엔비티(주),
키즈로운어린이홍삼,대동고려삼(주),
콘액트(ConAct),코스맥스바이오(주),
코어팩포우먼,삼성제약(주),
젬무브생생이너핏신바이오틱스(GEMMOVESAENGSAENGINNERFITSYNBIOTICS),주식회사볼드인터내셔널,
웰메이드해조칼슘,(주)한국씨엔에스팜,
씹어먹는굿아이베타카로틴,네이처퓨어코리아(주),
써큘업오메가3,(주)네추럴에프앤피2공장,
신비락525키즈,(주)알피바이오,
솔루티오우먼,우리바이오(주),
솔루티오써큐,우리바이오(주),
솔루티오당케,우리바이오(주),
세이프인멀티비타민,(주)한국씨엔에스팜,
새초롬초(비),농업회사법인주식회사헬스앤라이프,
브이플랜포스트Syn신바이오틱스유산균솔루션,주식회사코스팜,
밸런스오메가3프로,주식회사노바렉스2공장,
바이탈슬림다이어트올인원나이트,(주)알피바이오,
바이탈스킨히알루론산올인원,(주)알피바이오,
믿을신프리바이오틱스패밀리,(주)미누스토리,
믿을신유산균다이어트,(주)미누스토리,
믿을신신바이오틱스생유산균패밀리,(주)미누스토리,
믿을신신바이오틱스생유산균키즈,(주)미누스토리,
맛있는슬림카페바닐라라떼맛,(주)미누스토리,
맛있는슬림카페라떼맛,(주)미누스토리,
더팜아연,(주)알피바이오,
당신을위한항산화관리그린프로폴리스,코스맥스바이오(주),
더마3,(주)아오스,
락피도비타민D츄어블1000IU,(주)알피바이오,
그린비아멀티케어프로틴,코스맥스엔비티(주),
더블슬림핏,(주)빅솔반월공장,
더블케어루테인밀크씨슬,(주)유니쎌팜,
닥터루트프리바이오틱스아연플러스,주식회사볼드인터내셔널,
동영제메가비타민C1000,(주)한풍네이처팜,
다이어트츄,(주)뉴팜,
네이처드림뼈에좋은비타민D,주식회사볼드인터내셔널,
튼튼아액티브비(B)어린이액상비타민,엠에스바이오텍(주),
전홍삼키즈젤리,(주)젠푸드,
옵티엠에스엠2000,(주)한국씨엔에스팜,
"애터미석류미인(AtomyPomegranateMixedFruitJelly,대만수출용)",콜마비앤에이치(주),
발휘발효홍삼청소년,(주)젠푸드,
닥터액티브,코스맥스엔비티(주),
NuFinityHoveniaDulcisPowder3g,주식회사노바렉스,
홍삼농축액분말15,대동고려삼(주),
홍삼농축액12,대동고려삼(주),
홍삼농축액원료,풍기인삼공사영농조합법인,
프리바이오틱스(수출용),주식회사노바렉스,
프리미엄코어프로바이오틱스,주식회사볼드인터내셔널,
팜플러스350,풀무원건강생활(주),
투앤디,(주)아오스,
퀸즈팜멀티비타민골드,주식회사코스팜,
"애터미알래스카이-오메가3(ATOMYALASKAE-OMEGA3,태국수출용)",콜마비앤에이치(주)음성공장,
안국오메가루테인플러스,(주)서흥,
안국루테인지아잔틴미니50캡슐,(주)서흥,
비타민C,(주)한국씨엔에스팜,
바디핏풋사과젤리,코스맥스엔비티(주),
메디오와트(watt)포멀티비타,(주)비오팜,
메디오듀오플러스,(주)비오팜,
로얄면역비타민C1000,(주)세종바이오팜,
레드플러스오일,(주)한국씨엔에스팜,
BIOROSETTEC500ChewableVitaminC(전량수출용),(주)바이오로제트,
두뇌만사성피에스,(주)서흥,
뉴트리가이드비타민D2000IU,주식회사바이오에비뉴,
굿모닝혼합유산균프리미엄,(주)한국씨엔에스팜,
닥터슈퍼칸밀크씨슬&루테인,코스맥스바이오(주),
김정환홍삼농축액플러스,풍기인삼공사영농조합법인,
데일리퍼플키즈멀티비타젤리,코스맥스바이오(주),
관절건강이너프젤리,콜마비앤에이치(주)음성공장,
혈당에좋은당애[愛]프리미엄,(주)유유헬스케어,
한미알티지오메가3,주식회사네추럴웨이포천제2공장,
피투퀸40,주)팜크로스,
퓨어알티지오메가3플러스,코스맥스엔비티(주),
포스트바이오틱스,주식회사한미양행,
패밀리혼합생유산균디플러스,(주)비오팜,
티엠5캡슐,주식회사제이비케이랩,
진한면역홍삼정스틱,(주)일화,
진정주비타B,(주)알피바이오,
지큐랩(gQlab)면역포스트바이오틱스,일동바이오사이언스(주),
정상적인면역기능에도움을주는면역플러스업생유산균,주식회사아람,
유니크수용성프로폴리스추출물SX(에스엑스),유니크바이오텍(주),
원스닥터밸런스멀티팩Ⅰ,주식회사바이오에비뉴,
에이엠데일리멀티팩,(주)알피바이오,
액티브마그네슘플러스비타민D,(주)에스엘에스,
알티지클린오메가3,(주)알피바이오,
솔루티오메타,우리바이오(주),
비올틴,주식회사다움,
면역엔비피더스생유산균,코스맥스엔비티(주),
면역업프로폴리스,(주)알피바이오,
면역앤박틴,(주)세종바이오팜,
꼬어웨이,네이처퓨어코리아(주),
고려홍삼진데일리스틱,농업회사법인(주)부성,
더팜마그네슘,(주)알피바이오,
하루홍삼,(주)다정,
하루밸런스유산균,(주)메디오젠충주공장,
프리미엄플러스비타민D,네이처퓨어코리아(주),
장건강프로바이오틱스츄어블,(주)메디오젠충주공장,
발휘발효홍삼진(眞),(주)다정,
면역엔홍삼6년근프리미엄,(주)휴온스네이처3공장,
면역앤&장유산균,(주)메디오젠충주공장,
멀티비타민프리미엄ACE,일양약품(주),
마디본프리미엄,극동에치팜(주),
리버케어밀크씨슬퓨어,(주)유니쎌팜,
건강한멀티비타민미네랄,콜마비앤에이치(주)음성공장,
가르시니아,(주)한국씨엔에스팜,
프리미엄프로폴리스플러스아연,주식회사한미양행,
이오스타이너바이오코드오큐,디에이치팜(주),
이오스타이너바이오코드엠지,디에이치팜(주),
유산균충전내몸엔프로바이오틱스,주식회사한미양행,
비오틴프로젝트,(주)유유헬스케어,
프리미엄뼈튼튼칼슘마그네슘아연비타민D,주식회사코스팜,
뉴트리메이드식물성엠에스엠,(주)한국씨엔에스팜,
동영제눈건강루테인플러스,(주)한풍네이처팜,
고려홍삼농축액스틱,(주)대화바이오,
6년근발효홍삼만월당,대동고려삼(주),
프리미엄코엔자임큐텐,(주)알피바이오,
프리미엄종합비타민미네랄,(주)네추럴에프앤피2공장,
퓨어알티지오메가3업그레이드,코스맥스엔비티(주),
퓨어비타민D33000IU,주식회사노바렉스,
포뉴키즈프로바이오틱스,코스맥스엔비티(주),
트리플케어아이엔진,코스맥스바이오(주),
트루락데일리키즈프로바이오틱스,주식회사휴럼,
코어프로틴플러스,매일유업(주)아산공장,
칼슘마그네슘비타민D,(주)한국씨엔에스팜,
천마365,(주)한국씨엔에스팜,
자녀사랑홍삼,대동고려삼(주),
이지아이생유산균,(주)비오팜,
의사가만든근거기반칼슘비타민D,코스맥스바이오(주),
유산균다이어트비컴핏,주식회사고바이오랩,
요로굿,(주)한국씨엔에스팜,
온누리면역앤비타,극동에치팜(주),
수면건강온,(주)한국인삼공사,
솔고수퍼칼슘플러스,(주)한국씨엔에스팜,
셀티바기억력오메가3,코스맥스바이오(주),
생유산균화이버,종근당건강(주),
비바이뮨캡슐,주식회사제이비케이랩,
면역엔홍삼비타민,코스맥스바이오(주),
매일습관비타민C2000,콜마비앤에이치(주)음성공장,
마이니면역홍삼젤리,(주)서흥오창공장,
리뉴에너지그린,(주)비오팜,
그린프로폴리스,(주)한국씨엔에스팜,
그린프로케어,코스맥스바이오(주),
닥터루트프로바이오틱스아연플러스,주식회사볼드인터내셔널,
6년근왕가홍삼스틱,케이지랩주식회사,
달맞이꽃종자유보라지종자유,주식회사노바렉스2공장,
데일리비타씨플러스,주식회사볼드인터내셔널,
데일리비타민C비타민D,주)팜크로스,
﻿정상적인면역기능에필요한원데이면역아연MK,(주)바이오로제트,
휴먼네이처항산화멀티팩,(주)알피바이오,
화이버핏,(주)에스디푸드,
홍삼농축액분말7,주식회사한국바이오건강,
헥스-R(알),조아제약(주),
프리미엄큐텐쎄쎄,주식회사바이오에비뉴,
퍼틸비타맨,코스맥스엔비티(주),
키즈홍키,극동에치팜주식회사2공장,
크랜베리수秀,네이처퓨어코리아(주),
칼로-브이,(주)뉴팜,
제중원남기새명품수,(주)네이처텍,
장에다올하루한포프로바이오틱스,(주)에스엘에스,
에프아이원신바이오틱스,주식회사이수바이오,
에버핏편안해질유산균,코스맥스엔비티(주),
알티지오메가3프리미엄,주식회사노바렉스2공장,
신생활10종혼합유산균(New-life10mixedProbiotics)<전량수출용>,일동바이오사이언스(주),
슈퍼칸,(주)아리바이오에이치앤비,
생생전립生생,(주)유니쎌팜,
생그린키즈멀티비타민젤리,(주)알피바이오,
면역업,(주)보고신약논산공장,
메디그린프로폴리스츄어블,(주)알피바이오,
망간셀,코스맥스엔비티(주),
리튠알티지오메가3,코스맥스바이오(주),
간:비,에스케이내추럴팜(주),
돌피니키즈홍삼젤리,콜마비앤에이치(주)음성공장,
날씬하게시네트롤다이어트,(주)알피바이오,
라비쎌에스,(주)메디오젠충주공장,
6년근고려홍삼정진액스틱,바산고려홍삼(주),
더프로바이오베이비드롭,코스맥스엔비티(주),
데일리코어오메가3,주식회사한미양행,
뉴오리진이너플로라(NewOriginInnerFlora),(주)빅솔반월공장,
데일리베이스비오틴•아연,코스맥스바이오(주),
6년근고려100년홍삼정,(주)화인내츄럴,
관절튼튼플러스,(주)네추럴에프앤피2공장,
활력단백질,코스맥스바이오(주),
홍삼추출물알지쓰리케이디,(주)비트로시스,
트루바이타민,(주)비오팜,
착한생활습관멀티비타민미네랄,코스맥스바이오(주),
지아이-프로밸런스,코스맥스엔비티(주),
조인골드글루코사민,영풍제약(주),
유산균다이어트슬림365,극동에치팜(주),
어린이비타민,(주)미누스토리,
시어스날마다프로바이오틱스19종,(주)비오팜,
비바시티츄어블프로바이오틱스아연,코스맥스엔비티(주),
비바시티뼈건강프로바이오틱스,코스맥스엔비티(주),
베스처키뮨진비타민D드롭,코스맥스엔비티(주),
미스더필플러스+,(주)비오팜,
더팜그린프로폴리스스프레이,코스맥스엔비티(주),
데일리장케어신바이오틱스프로바이오틱스&프리바이오틱스,코스맥스엔비티(주),
19종혼합유산균-알에스200비뉴(19종혼합유산균-RS200BNew),(주)씨티씨바이오,
더존홍삼농축액분말30,주식회사한국바이오건강,
건국신바이오틱3000,우리바이오(주),
더존홍삼농축액분말20,주식회사한국바이오건강,
리뉴조인트,(주)비오팜,
리버케어밀크씨슬,(주)비오팜,
닥터포유마이크로바이옴포스트바이오틱스,주식회사아람,
활화삼레이디,(주)믿음의나무농업회사법인,
한삼수홍삼골드스틱,케이지랩주식회사,
하드비거,(주)바이오로제트,
프리바이오틱스,아미코젠(주),
인삼분말,(주)휴온스네이처3공장,
엔케이119,(주)메디언스,
엔오액티브,(주)메디언스,
에센셜포맨50+,(주)서흥,
아쿠아리얼플러스,아미코젠(주),
신바이오틱스,주식회사한미양행,
생유산균패스,종근당건강(주),
루테인오메가3멀티비타민,주식회사한미양행,
IMMUNE면역,(주)원일바이오,
그린프로폴리스스위치온,서울프로폴리스(주),
간편하니,(주)아리바이오에이치앤비,
다노이뮨멀티비타민,코스맥스엔비티(주),
락피도징크시럽키즈,코스맥스엔비티(주),
6년근오리진홍삼정,(주)화인내츄럴,
가제리유산균-500,(주)메디오젠,
프로폴리스항균스프레이,코스맥스엔비티(주),
패밀리면역프로바이오틱스,주식회사노바렉스,
코스맥스엔비티홍삼진액,코스맥스엔비티(주),
채움미허니부쉬,코스맥스바이오(주),
착한생활습관루테인밀크씨슬,코스맥스바이오(주),
제이톡,코스맥스바이오(주),
작심두알,(주)충청바이오텍,
우먼케어건강한질엔,코스맥스엔비티(주),
우리가족루테인오메가3,(주)한국씨엔에스팜,
아이케어루테인스틱,(주)네이처텍,
신바이오프로,콜마비앤에이치(주)음성공장,
시크릿레드,네이처퓨어코리아(주),
생유산균슬림,종근당건강(주),
생유산균맘스,종근당건강(주),
비타민D32600IU,(주)한국씨엔에스팜,
보나빼띠,(주)알피바이오,
바이탈슬림다이어트하비탈출,(주)알피바이오,
마이니액티브엽산플러스,주식회사노바렉스,
그린프로폴리스,(주)알피바이오,
락토필듀오엔테로(LACTOPHILDUOENTERO),(주)씨티씨바이오,
라비쎌케이,(주)메디오젠충주공장,
라비쎌에프,(주)메디오젠충주공장,
데이즈온프리바이오틱스키즈,코스맥스바이오(주),
대웅제약히알루론산,(주)알피바이오,
6년근천년아침홍삼스틱,케이지랩주식회사,
ATOMYSPIRULINA(수출용),콜마비앤에이치(주)음성공장,
100억프로바이오틱스,코스맥스엔비티(주),
루테인아스타잔틴하트캡슐,(주)알피바이오,
헬스앤밸런스비포,(주)마임,
프리미엄홍삼레드파워업,(주)미누스토리,
퍼틸케어,(주)알피바이오,
판토모나비오틴하이퍼포머,(주)비오팜,
지평책,극동에치팜(주),
점핑하이-키즈(JUMPINGHI-KIDS),주식회사노바렉스,
이오스타이너바이오코드비티,디에이치팜(주),
에인에이칼본플러스,우리바이오(주),
에스퍼플,주식회사노바렉스2공장,
쏘팔메토옥타맥스,(주)유니쎌팜,
비타충전내몸엔멀티비타민,주식회사한국바이오건강,
