,pdf기사본문따오기,본문
58,,"HOME경제산업건강기능식품유산균,치료제로키운다주찬우기자|승인2021.03.29다양한균주바탕매출고성장…지역우수인재등고용적극적경남도지원받아신기술개발…염증억제·통증완화도움기대면역력과건강관리의관심이증가하면서건강기능식품을찾는소비자가꾸준히늘고있다.이가운데프로바이오틱스는한국인이가장많이섭취하는건강기능식품이다.식품의약품안전처집계를보면2019년한해에만4593억원어치프로바이오틱스가판매됐다.프로바이오틱스의인기비결은'면역력'이다.프로바이오틱스는장건강뿐아니라면역력을강화하는데도도움을준다.경남도가시행하는천연물소재응용기술개발사업을통해프로바이오틱스의효능을치료영역까지확대하는기업이있다.진주에본사를둔락토메이슨이다.◇경남유일한프로바이오틱스생산=진주시문산읍바이오단지에들어서면'유산균을만드는사람들'이라는입간판이눈에띈다.락토메이슨(대표손민)은도내에서유일하게프로바이오틱스를생산하는바이오기업이다.2007년진주시문산읍에서에이엠바이오로출발한이회사는2015년5월락토메이슨으로사명을바꿨다.진주에본사와1·2공장을두고있으며,올1월에는서울마이크로바이옴연구소도개설했다.진주공장은유산균을제조하는생산기지,연구소는유산균기능성입증을담당한다.락토메이슨직원64명중연구인력은15명이다.락토메이슨은고성장하고있다.2019년매출71억원에서2020년87억원에이어올해100억원달성을할전망이다.회사규모가커짐에따라직원수도해마다증가해2019경남도고용우수기업으로선정된바있다.청년이오고싶은환경도조성하고있다.지역대학에서우수한인력을확보하고자'청년내일채움공제(중소기업에서2년이상근무시목돈마련을혜택을주는정부제도)'를시행하고,우리사주도직원들에게지급할계획이다.락토메이슨은발효식품,모유,천연물등에서유래한프로바이오틱스균주2000여주를확보하고있다.별도균주은행도운영하며보관에도힘을쏟고있다.▲진주바이오단지에있는락토메이슨연구원이유산균배양연구를하고있다./락토메이슨암웨이,셀트리온,풀무원,남양유업등에주문자상표부착생산(OEM)·제조자개발생산(ODM)방식으로동결건조분말원료를공급하고,자사상표제품도15종을생산하고있다.는성과를냈다""고소개했다.김태락연구소장은""락토메이슨은유산균의면역조절특성을규명하고균주별최적배양조건을개발해최근3년간19개균주특허를등록하◇염증억제·통증완화분야도전=락토메이슨은천연물소재응용기술개발사업을통해통증완화에도움을주는프로바이오틱스개발에나섰다.이사업에는도비출연금7500만원과회사부담2500만원등총1억원이투입됐다.락토메이슨은근육통,생리통등각종통증관련세포및동물실험에서염증억제효과를확인했다고밝혔다.특허2건을출원했고관련논문게재를준비하고있다.김소장은""인체적용시험을성공적으로수행하면식약처의심사과정을거쳐내년하반기쯤제품출시를염두에두고있다""고말했다.최근프로바이오틱스시장이성장함에따라많은제약회사,바이오기업이이분야에뛰어들었다.프로바이오틱스의무궁무진한잠재성때문이다.바이오기업들은단순건강식품에서벗어나유산균을활용한치료제개발등질병치료영역까지넘고있다.락토메이슨도'마이크로바이옴플랫폼'을회사미래비전으로제시하고있다.사람몸속에서식하는유익균'마이크로바이옴'을미래신성장동략으로삼겠다는구상이다.손민대표는""마이크로바이옴연구에유효한균주선별과연구개발생산을아우르는한국마이크로바이옴산업의플랫폼이되겠다""고밝혔다.저작권자©경남도민일보무단전재및재배포금지주찬우기자"
59,,"코로나19이길면역력의황제견과류,피스타치오박효순기자anytoc@kyunghyang.com2021-01-2509:23입력2021-01-2509:23수정셀레늄·구리등미네랄이포함돼있다.견과류의일종인피스타치오(사진)에면역력강화성분이11가지나들어있다는전문가의견이제시됐다.이중엔비타민B1·B2·엽산등비타민B군과비타민E등비타민,아연·최근열린‘피스타치오의영양과우리의면역체계’온라인세미나에서미국의영양컨설턴트이자건강전문지‘멘스헬스’고문인마이크러셀박사는생체내에서피스타치오의폴리페놀(항산화성분)이메티실린내성황색포도상구균(MRSA)을죽이는등항균효과와면역력강화효과가확인됐다고발표했다.러셀박사가꼽은피스타치오내면역력강화성분은면역반응과염증과정을조절하는것으로알려진폴리페놀·카로티노이드등항산화성분외에도9가지가더있다.이중비타민B1·B6·엽산등비타민B군을부족하게섭취하면항체생산과감염과싸우는면역세포의능력에악영향을미친다.비타민E(알파토코페롤)는활성산소를없애는강력한항산화비타민이면서,세포매개성면역강화에기여하고,기도의염증을낮추는것으로알려졌다.아연·셀레늄섭취가적으면코로나19·독감등바이러스감염위험과증상악화위험을높인다.구리섭취부족은백혈구수의급감을초래하고이는각종감염에대한취약성을높인다.구리는항체생성도돕는다.피스타치오1회분량(약49개)엔계란한개정도의단백질(6g)이들어있다.러셀박사는“단백질은항체의구성성분으로,코로나19등감염병이유행할때는충분히섭취해야항체가원활하게생성된다”고설명했다.피스타치오에풍부한식이섬유(1회분량섭취시하루권장량의10%이상보충가능)는위장관건강에유익한프로바이오틱스(probiotics)의먹이(프리바이오틱스)로작용한다.신체면역력의80%는장에서나오며,그중심에있는것이프로바이오틱스다.ⓒ경향신문&경향닷컴,무단전재및재배포금지CopyrightⓒTheKyunghyangShinmun,Allrightsreserved."
60,,"알고먹는건기식내몸에더이롭다2021-04-3011:51:50게재코로나19장기화로건강기능식품의수요가늘고있다.건기식을제대로알고자신의몸에맞게섭취할필요가있다.건기식을구매할때는식약처가인증한'건강기능식품'이라는문구와도안,우수제조기준(GMP)인증도안이함께표시된것을먼저확인해야한다.건기식은의약품이아니기때문에고혈압당뇨관절염등질병을예방치료할수있다는허위·과대광고에현혹되지말아야한다.건기식소비자인식조사(2020년11월.식약처)결과에따르면,건기식섭취개수는2∼3개가57.8%,1가지가23.9%,4∼5가지가12.9%로나타났다.기능성을가진제품을여러개많이먹는다고몸안의기능이커지는것이아니므로제품에서표시된일일섭취량에맞게섭취하는것이좋다.여러개를섭취할경우성분과기능성이중복되지않는지확인해야한다.만약건기식섭취후에이상반응이발생할경우즉시섭취를중단하고전문가와상담해야한다.신고센터(1577-2488)또는'식품안전나라누리집'을통해신고하는것이바람직하만약질병치료로의약품을복용하고있는경우,의사약사등전문가와상담후섭취하는다.것이좋다.인삼과면역억제제를함께섭취하면약효과가떨어질수있다.수술전이나항응고제를복용할때는인삼을섭취해서는안된다.프로바이오틱스제품은항생제와함께섭취하면효과가떨어질수있다.EPA및DHA함유제품은아스피린과같은항응고제와같이섭취하는걸피하는것이좋다.밀크씨슬제품은간건강에도움을주지만의약품과함께섭취하면의약품의분해속도를떨어뜨릴수있다.[관련기사]▶나만몰랐던비타민C의진실김규철기자gckim1026@naeil.com▶[건강기능식품도맞춤시대]맞춤형건강기능식품구매환경만든다▶[인터뷰│염창환대한비타민연구회장]""영양제,건강상태따져보고복용해야""㈜내일신문|대표장명국|인터넷신문등록번호:서울아51953등록일자:2018.12.06서울특별시중구통일로92,13층(순화동,KGTower)☎02-2287-2300웹사이트운영대행사:(주)내일이비즈01-86-52538Copyright©Allrightsreserved."
61,,"전신건강을생각하는치과진료‘통합기능치의학’⑧유산균,비타민C,비타민D,코큐텐은기질과구강환경의균형을맞춰주는중요한요소2021-01-2910:48:30게재전신건강을생각하는통합기능치의학에서는환자의상태에따라프로바이오틱스와비타민C,비타민D,코엔자임큐텐(이하코큐텐)등을권장한다.특히코큐텐은모든세포에꼭필요한성분을함유한항산화제로주목받고있다.이코큐텐이구강및전신에미치는영향에대해리빙웰치과병원김현철병원장의상세한설명을들어보았다.도움말리빙웰치과병원김현철병원장(치의학박사)항산화제역할충실세포는전부인지질로쌓여있다.비타민C나B는수용성이라인지질을뚫고흡수되지못한다.세포속으로들어갈수있는성분중하나가코큐텐이다.코큐텐은인지질을뚫고세포속으로들어가세포의산화환원작용에관여한다.세포속에있는미토콘드리아는전자전달체계에따라활성화되는데,전자전달체계가잘못되면산화가일어나고,제대로작동하면환원상태에서제역할을한다.이기전에코큐텐이작용해산화환원을번갈아반복해준다.우리몸에서합성하는ATP(생명체를가동하는화학에너지)는산화가되면사용할수없다.이를코큐텐이환원시켜몸에서사용할수있도록해준다.또한코큐텐은비타민E를환원시켜주는역할을하고,미토콘드리아가산화돼망가지는것을막아주면서항산화제역할을한다.코큐텐의효과를정리하면,에너지를만들고,미토콘드리아를보호해세포가망가지지않도록해준다.또한산화된비타민E를환원시켜비타민E를재생시켜준다.코큐텐,잇몸건강에영향많다.약도있다.코큐텐은전신에있다.하루종일쉬지않고움직이는심장에제일많고,신장과간에도혈액속에도코큐텐이있어핏속을타고돌아다니며잇몸까지전해진다.잇몸염증이심한사람의잇몸조직을떼어내코큐텐을연구한사례가있는데,잇몸질환이심한경우코큐텐수치가낮은것으로나타났다.국내에는없으나외국에는코큐텐성분을함유한치코큐텐의화학적용어는유비퀴논또는유비퀴놀이라고한다.둘은미묘한차이가있다.간에서만들어지는코큐텐은95%가유비퀴놀형태며,5%가유비퀴논이다.국내에서는유비퀴논형태만판매한다.성분의활성기능을평가할때,이온으로돼있는유비퀴논은2급으로분류돼항산화제로인정받았다.반면,유비퀴놀은활성기능평가에서3급으로분류돼항산화기능이있다고표시할수없게됐다.유비퀴놀은흡수율이높아나이가들수록유비퀴놀을먹는것이효과적이지만가격이비싼편이다.국내제품이없는탓에직구를하는경우도있으나주의해야한다.유비퀴놀은환경에예민해유통과정에서성분의변화가생길수있기때문이다.따라서현재는가격이저렴한유비퀴논을먹는것이합리적이다.유비퀴논구매시엔합성인지천연성분인지도고려해야한다.합성성분의경우불순물과이불순물의유해가능성을완전히배제할수는없기때문이다.잇몸질환개선위해하루100~150mg권장건기식을구매할때는제품의원재료를확인하는것이중요하다.만일표기가안됐다면그제품은구매하지않는것이좋다.보관에도신경을써야한다.일반적으로실온에보관하라고돼있으나여름엔좀주의해야한다.인터넷으로직구를할경우,여름에직구하는것은권장하지않는다.온도관리가안되면성분에변화가생길수있다.코큐텐은고혈압,당뇨병환자에게좋고,잇몸질환을개선하는데도효과적이다.일반적으로코큐텐의하루필요량은50~200mg이지만사람에따라필요량은달라진다.치과에서는잇몸질환개선을위해하루100~150mg을권장하며,전신질환이있을때는200mg이상먹기도한다.통합기능치의학차원에서보면프로바이오틱스,비타민C,비타민D,코큐텐은기질과구강환경의균형을맞춰주는중요한요소다.이균형을잘맞추면입안이정말건강해진다.구강이건강해지는것과동시에전신도건강해질가능성이커진다.양지연리포터yangjiyeon@naver.com㈜내일신문|대표장명국|인터넷신문등록번호:서울아51953등록일자:2018.12.06서울특별시중구통일로92,13층(순화동,KGTower)☎02-2287-2300웹사이트운영대행사:(주)내일이비즈01-86-52538Copyright©Allrightsreserved."
62,,"전신건강을생각하는치과진료기능통합치의학⑦코엔자임큐텐심장과혈관을튼튼하게해주는코큐텐,잇몸질환개선에도움2021-01-0814:43:42게재코엔자임큐텐은줄여서코큐텐이라고한다.건강기능식품에대한관심이높아진덕분에대형마트건강기능식품코너에가면코큐텐또한한자리를차지하고있다.1957년처음발견된코큐텐은1977년일본의가네카라는회사에서효모를발효시켜천연으로만든후전세계에확산하기시작했다.심장과심혈관질환을막아주는코큐텐은치과진료에어떤도움이될까.이에대해일산리빙웰치과병원김현철병원장의상세한설명을들어보았다.도움말일산리빙웰치과병원김현철병원장(치의학박사)코큐텐이만들어지는양은노화곡선과일치코큐텐은사람을비롯해모든동물의간에서많이만들어진다.아세틸코엔자임A라는효소가분해와합성의과정을거치면서그산물로만들어지는것이코큐텐이다.그런데이기전에밀접한영향을미치는것이콜레스테롤이다.콜레스테롤이있는사람은주로스타틴계열의약을많이처방받는데약의효과로간에서콜레스테롤생성이억제된다.그러면서코큐텐생성또한억제돼코큐텐이고갈되는상태에이르게된다.고지혈증이라는병을막으려고약을먹었으나약의폐해로코큐텐또한안만들어지게된것이다.코큐텐은심장과심혈관질환예방에도움이된다.코큐텐의화학적용어는유비퀴논이다.국내에서는심부전증보조약으로쓰는것중유비데카레논이있는데이게바로코큐텐이다.유비퀴논은간에서만들어지기때문에보충할필요가없다고생각할수있으나그생성은노화곡선과일치한다.20대에코큐텐생성의최고점을찍고이후서서히만들어지는양이줄어든다.40~50대에는최고점을찍었을때비해30%정도,60~70대에가면70%로생성양이줄어든다.코큐텐은근육의생성에도영향을미친다.사람이나이를먹어가면서힘이없어지고,근육양이줄어드는데코큐텐생성이감소하기때문이다.코큐텐은다양한음식에들어있다.소고기나닭고기등의육류와시금치같은채소에도코큐텐이들어있다.하지만고기1kg을먹었을때50mg정도의코큐텐을보충할수있다고하니음식으로코큐텐필요량을섭취하는것은불가능하다고봐야한다.잇몸까지핏속의좋은성분이잘전달되는것이최상구강프로바이오틱스는구강환경을개선하는역할을한다.구강내미생물인유익균유해균의비율을조절해유익균의비율을높여건강한구강환경으로만들어준다.구강내유해균이많으면잇몸의핏줄이터졌을때유해균이핏줄을타고돌아다니거나구강내신경총을따라신경으로침투할수있다.침을삼키는과정에서몸안으로유해균이들어갈수도있다.구강세균은전신질환을일으키는원인으로꼽히기도한다.따라서프로바이오틱스를통해구강내환경을건강하게만들어주는것은치과질환예방이나전신질환예방에분명도움이된다.비타민C나비타민D를섭취하는것은땅을단단하게하는기질치료다.뼈와살을튼튼하게해주는데뼈가만들어지면그안으로칼슘이들어간다.이과정을원활하게해주는것은좋은피다.심장에서시작해말단부까지좋은피가골고루잘전달되는것이중요하다.잇몸은인체의말단부에속한다.잇몸까지핏속에있는좋은성분이잘전달되는것이최상이다.그런데혈관상태가좋지않아피가말단까지잘공급되지못하면여러가지문제가생긴다.이런문제를해결하는데코큐텐이한몫을한다.건강기능식품으로코큐텐을먹으면제일먼저심장에도움이되고혈관을튼튼하게해준다.이결과가우리몸의사지와잇몸등모든곳에영향을미친다.이와같은기전으로코큐텐은잇몸질환을개선하는데도움을준다.양지연리포터yangjiyeon@naver.com㈜내일신문|대표장명국|인터넷신문등록번호:서울아51953등록일자:2018.12.06서울특별시중구통일로92,13층(순화동,KGTower)☎02-2287-2300웹사이트운영대행사:(주)내일이비즈01-86-52538Copyright©Allrightsreserved."
63,,"2021-02-2403:00:00편집[헬스캡슐]메디오젠,충치예방프로바이오틱스특허취득프로바이오틱스전문바이오기업인㈜메디오젠(대표이사백남수,이하메디오젠)은프로바이오틱스의치주질환예방효과를입증하고국내특허2건에대한등록을완료했다고밝혔다.메디오젠은충치유발균과치주질환을억제하는건강기능식품을개발하기위해자체프로바이오틱스균주라이브러리에서국민대와공동연구를진행했다.그결과효과적인충치유발세균억제능력을보유하고파골세포분화억제및치조골소실예방효능이우수한균주를선별해치주염에대한효능을확인했다.연구결과는미생물연구분야에서권위를자랑하는SCI급국제저널인몰레큘스2월호에게재됐으며국내특허2건도취득했다.Copyright©dongA.com.Allrightsreserved."
64,,"2021-02-1703:00:00편집면역력좌우하는마이크로바이옴을아시나요?마이크로바이옴과장건강몸속미생물의95%장에서식장내세균균형깨지면질병유발장건강위해유산균섭취해야게티이미지코리아의학의아버지로불리는고대그리스의히포크라테스는‘모든병은장에서시작된다’며장의중요성을일찌감치간파했다.장내미생물이인체에얼마나다양하고중요한영향을미치는지그가치는나날이증명되고있다.전문가들은“장내미생물이어떻게바뀌는지에따라우리몸의질병지도가바뀐다”고설명한다.장내미생물이소화기질환은물론이고암과비만,치매,우울증등우리몸전체의질환과직간접으로연관돼있다는것이다.마이크로소프트창립자빌게이츠역시세계를바꾸게될세가지중하나로미생물집단을뜻하는‘마이크로바이옴’을지목했다.마이크로바이옴시대에도래한지금,가장먼저챙겨야할것은바로장건강이다.장내미생물치매·우울증과도연관마이크로바이옴은미생물(microbe)과생태계(biome)를합친말로몸속에100조개의미생물과그에대한유전정보를일컫는다.세균과균류,바이러스가포함된다.손가락의지문처럼사람마다각기다른마이크로바이옴을지녔으며이차이에의해신체의건강이좌우된다.이러한미생물들은입,코,피부,장등곳곳에분포돼있지만그중95%이상이장에살고있다.장내미생물에대한연구가활발한이유다.장내미생물은우리몸에서다양한기능을한다.첫째는면역체계를강화한다.음식물을섭취하면외부항원이장점막을통해유입되는데장점막의외부층에주로분포하는장내미생물이음식물에포함된미생물에대한일차적인방어기능을담당하면서신속하고강력하게면역반응을일으킨다.이과정에서장내미생물은인간의면역시스템과끊임없이상호작용하면서면역체계를강화한다.실제신생아시기에장내마이크로바이옴이제대로조성되지않으면면역체계가형성되지않아알레르기질환의발생가능성이높다는점은널리알려진사실이다.장내미생물은뇌의영역과도밀접한관련이있다.여러연구결과에따르면소화기관과뇌는서로떨어져있는것처럼보이지만실제로특별한신경세포와면역경로인‘장-뇌축(gut-brainaxis)’으로연결돼있다.자폐증,파킨슨병,알츠하이머,우울증등과같은정신신경계질환에영향을미친다.묵인희서울대의대생화학교실교수는알츠하이머병과장내미생물간상관관계를밝히기도했다.뇌안에베타아밀로이드와타우단백질을축적해치매를유발시킨쥐의장내미생물군이정상쥐와다르다는점을확인했다.치매쥐에게정상적인쥐의분변을이식해장내미생물군의변화를유도한결과뇌안베타아밀로이드와타우의축적이감소하면서전신염증반응이감소한것을발견했다.장내생존율이관건,프리바이오틱스가보조효과장내미생물은태어날때부터유전,식습관,생활습관에따라개인별로다양한군집구조를갖는다.똑같은음식을먹어도누구는쉽게배탈이나거나살이찌는것도이러한장내미생물때문이다.장내미생물의균형이깨지면몸에이로운유익균군집이붕괴되고해로운균이득세하면서염증과산화스트레스가발생해각종질병의원인이된다.이때문에아예건강한사람의장내세균을이식해질병을치료하려는연구도활발하다.대표적인것이‘대변이식술(분변이식술)’이다.건강한사람의대변속유익한균만을선별해내시경이나관장을통해환자의장속에이식하는방식이다.유럽과미국,캐나다등에선널리알려진공인치료법이다.최근에는이러한마이크로바이옴방식의치료법을토대로암,치매,간질환,자가면역질환등의치료제를개발하려는임상연구가활발히진행되고있다.대변이식술의번거로움,부작용등의한계를뛰어넘는마이크로바이옴기반의신약인셈이다.평소건강한장내미생물을얻기위해서는프로바이오틱스를섭취하는것이중요하다.프로바이오틱스는체내에서건강에이로운효과를주는살아있는미생물을의미한다.보편적으로알려진유산균이프로바이오틱스의일종이다.프로바이오틱스는장내유익균을늘리고유해균을억제하는역할을한다.장에서젖산을분비해장내환경을산성으로유지하게한다.이과정에서산성환경을견디지못하는유해균은감소하고유익균은증가함으로써장내균형을맞춰장을건강하게만들어준다.프로바이오틱스제품을고를때는균수와장내생존율,프리바이오틱스의함유등을꼼꼼히따져보는것이좋다.위산과소화효소에의해분해되지않고살아있는상태로소장까지도달해장에서증식하고정착해야한다.균자체가아무리좋아도식도와위를거쳐장까지살아서도달하지않는다면아무소용이없다.따라서장내생존율을높이기위한기술력이적용된제품이효과적이다.프로바이오틱스의증식을위해서프리바이오틱스를함께섭취하는것도좋다.프리바이오틱스란유익균인프로바이오틱스가좋아하는영양분이다.일종의먹이라고할수있다.프리바이오틱스는프로바이오틱스의먹이가돼유익균의증식률을높이고프로바이오틱스가장까지제대로살아서갈수있도록도움을준다.이둘을함께배합한제품은시너지가배가된다.하지만단기간짧게유산균을섭취한다고면역력이높아지는것은아니다.어떤유산균이든효과를보려면한달이상꾸준히먹어야한다.식품의약품안전처에서지정한프로바이오틱스일일권장량은최대100억마리다.과다섭취시엔장내가스발생,설사유발등의가능성이있으므로주의하는것이좋다.황효진기자herald99@donga.comCopyright©dongA.com.Allrightsreserved."
65,,"기사주소:http://www.dt.co.kr/contents.html?article_no=2021011502109923072003GNM자연의품격·CJ오쇼핑플러스,18일포스트바이오틱스소!프라이즈방송이미정기자lmj0919@dt.co.kr|입력:2021-01-1510:28㈜지엔엠라이프의헬스케어전문브랜드'GNM자연의품격'은오는18일오후15시45분,CJ오쇼핑플러스에서'10억생유산균포스트바이오틱스'소!프라이즈방송을진행한다고15일밝혔다.신축년'소의해'를맞아다양한혜택을마련했다.현재CJ오쇼핑몰에서방송과동일한조건의12개월,6개월,3개월분을특가로사전구매가능함은물론,천원즉시할인을제공한다.또한구매시최대3%CJONE포인트추가적립이가능하며,하나만구매해도무료배송혜택을제공해합리적인가격으로만나볼수있다.'10억생유산균포스트바이오틱스'는식약처로부터기능성을인정받은살아있는17종프로바이오틱스는물론,1포당3,000mg의프락토올리고당(프리바이오틱스)까지주원료로함유한신바이오틱스제품이다.여기에최근주목받고있는유산균대사산물(포스트바이오틱스)을부원료로함유해다양한성분을한번에섭취할수있다는장점이있다.그외모유에서유래한루테리균과가세리균은물론,김치유래유산균,특허유산균3종까지장맞춤형복합유산균을1포에담아품질을높였다.또한,특허발효공법으로발효과정중유산균이받는생육저해스트레스로부터보호하고,동결보호로유산균이장까지안전하게도달할수있도록제조했다.GNM자연의품격관계자는""희망찬2021년을함께맞이하자는의미로무료배송,적립금제공등다양한이벤트를진행하게됐다""며""인기상품'10억생유산균포스트바이오틱스'를할인판매하고,풍성한혜택도제공되는만큼고객들에게즐겁고합리적인쇼핑기회가되기를바란다""고전했다.한편,본행사는1월18일오후15시45분부터약1시간동안CJ오쇼핑플러스에서만나볼수있으며,방송이전사전판매가진행되고있다.이미정기자lmj0919@dt.co.kr[저작권자ⓒ디지털타임스무단전재-재배포금지]CopyrightⓒDigitalTimesAllRightsReserved."
66,,"[건강플러스]⑩활동줄어든코로나시대,심해지는치질매일신문배포2021-06-0114:42:18|수정2021-06-0117:00:21출처-클립아트코리아화장실가기가무서운사람들이있다.인간의자연스러운생리활동중하나인배변이제대로이뤄지지않는고통은겪어본사람만이이해한다.그중항문부위의통증은누구에게드러내놓고말하기조차쉽지않다보니혼자끙끙앓다가병을더키우는경우도흔하다.코로나19가장기화하면서활동량이줄고집에서재택근무,온라인수업등으로인해의자에앉아있는시간이늘어난것은이들에게더욱괴로운생활환경이됐다.여기에다날씨가점점더워지면서습해지는공기에다땀까지더해지다보니초여름은치질환자들에게가장괴로운계절이다.◆변비는치핵'탈장,설사는농양의원인돼흔히'치질'이라고말하는항문질환에는치핵,치루,치열등이모든항문질환이포함된다.'치핵'은원래대변이나가스가새지않도록막아주고배변의충격을덜어주는내괄약근과외괄약근사이항문쿠션조직이느슨해져항문밖으로빠져나오는것을말한다.또'치루'는항문선의안쪽과항문바깥쪽피부사이에생긴염증이곪아생긴구멍으로분비물이나오는현상을일컫고,'치열'은딱딱한변으로항문이자극을받고찢어지면서통증이심해지는병이다.치질이라고할경우대부분치핵인경우가많다.구원장은""이같은각종항문질환이발병하는것은변비와설사,가족력,그리고여성의경우는임신과출산탓이크다""고설명했다.변비가있을경우배변시항문에지속적으로힘을가하게된다.이때지나치게힘을주면항문주변의혈관과결합조직이덩어리를이뤄튀어나오거나피가나는치핵(치질)을유발한다.여성들은임신과출산을거치는과정에서복압이높아지거나골반바닥이약해진경우에도비정상적으로치핵조직이커질수있다.이생긴다.반면설사가잦다면항문농양이나치루에주의해야한다.항문농양은대장균등세균에감염되거나크론병,궤양성대장염등염증성장질환에의해많최근에는고령화가급격히진행되면서노화에다술과담배등의나쁜습관까지더해져항문질환으로병원을찾는이들이더증가추세다.◆원형자동봉합기통해간단히수술가능대장안에는무수한유해균과유익균이뒤섞여있는데장점막에는무려100조마리이상의세균이살고있다.400~500여종의다양한세균은면역기능을담당하고음식물을분해하며비타민과효소등을만들어낸다.이중장내유해균이늘어나면독소를증가시키고염증을일으키며면역기능을떨어뜨린다.또다른문제는장내세균환경은배변습관과항문건강에도큰영향을미친다는점이다.설사와변비를유발하기때문이다.항문질환을예방하려면우선변비를치료해야한다.변비는잘못된생활습관과식습관으로대변의양이줄어들기때문에발생하는데,치질을예방하는방볍은대변을부드럽게해항문에가해지는압력과긴장을덜어줘야한다.규칙적인식사를하고,섬유질이많은채소와과일,잡곡류,콩류등을충분히섭취해야한다.물을하루에5잔이상마시고,프로바이오틱스등유산균제재를꼬박꼬박챙겨먹는것도도움이된다.배변습관도바꿔야한다.변비가심하다고핸드폰이나책,신문을붙들고앉아지속적으로과도하게힘을주고있으면안된다.변기에앉아있는시간이7분을넘기지않는것이좋다.하루15분정도따뜻한물에엉덩이를담그는온수좌욕이크게도움이된다.항문괄약근(케겔)운동을하거나,장시간서있거나앉아있지않고가벼운운동을매일실천하는것이좋다.비데를사용하는습관도도움이된다.다만이때는수압을약하게하고,따뜻한물을사용해마치온수좌욕을하는것처럼항문부위를깨끗하게관리해주는것이좋다.너무강한수압은오히려해롭다.구원장은""흔히치질이라고하면수술부터떠올리지만항문질환으로병원을찾는환자들중수술을하는비중은100명중5명정도에불과하다""면서""출혈이나부종,통증의증세가심하지않을경우온수좌욕이나연고제,좌약,변비약등의보전적치료로호전될수있다""고말했다.다만항문에생긴상처를방치해만성이되면이때는치열이나치루,심구자일구병원병원장할경우암으로발전할수도있어증세가있을경우미리미리치료를받는것이좋다.수술이필요할경우에는'원형자동봉합기'를통해통증이적고빠르게회복가능하다.3.3㎝의원통기구를항문에넣어늘어난치핵을자른뒤고정하는방식이다.밖으로빠져나온조직을깔끔하게떼내는것은물론이고항문주변피부까지깔끔하게정리돼향후항문을건강하게관리하는데도좋다.도움말구자일구병원병원장한윤조기자hanyunjo@imaeil.com"
67,,"바이오일레븐드시모네,쇼핑라이브'완판'이어간다발행일:2021.04.29<바이오일레븐드시모네365이네이버쇼핑라이브에서완판을기록했다.>프로바이오틱스전문기업바이오일레븐(대표이경민)이'드시모네365'론칭을기념해지난20일진행한네이버쇼핑라이브방송에서완판을기록하는등라이브커머스채널에서긍정적호응을얻고있다고29일밝이날방송에서바이오일레븐은고객의브랜드경험확대를위해대중적인가격으로출시한드시모네365를오전11시부터한시간동안네이버라이브커머스최초로선보였다.쇼핑라이브에서만구매가능한드시모네365세트상품구성으로진행됐고,특가판매와함께푸짐한경품증정이벤트를실시하는등파격적인혜택으로방송1시간만에한정수량으로준비된상품이모두매진됐혔다.다.바이오일레븐은이같은고객호응에힘입어라이브커머스편성을이어간다.29일오후1시11번가라이브쇼핑에참여한다.이날은드시모네365론칭기념으로단하루11번가단독할인혜택과라이브중구매시,추가증정사은품및구매인증댓글작성시,다이슨공기청정기부터발뮤다더토스터등푸짐한혜택을고객들에게제공할계획이다.5월2일오전11시에는네이버쇼핑라이브에서5월가정의달을맞이해선물특집릴레이라이브를진행한다.단한시간동안드시모네인기제품을온가족세트상품으로구성해파격적인혜택을제공할예정이다.이날라이브중구매시,드시모네365체험팩을구매자전원에게증정하며,구매인증을할경우드시모네전용보냉백및인덱스도마를고객들에게제공할방침이다.바이오일레븐관계자는“식약처로부터최초이자유일하게장면역기능성을인정받은프리미엄프로바이오틱스원료드시모네포뮬러를부담없이체험하고싶은고객여러분들께큰호응을얻고있다”며“앞으로도다양한채널에서라이브커머스콘텐츠를지속적으로선보이며풍성한혜택으로더좋은고객경험을제공해나갈것”이라고말했다.김정희기자jhakim@etnews.com"
